============================================================
        超级大乐透历史开奖号码汇总
        数据来源：中国体彩网、彩吧助手等官方渠道
        更新至：2026年7月11日（第2026077期）
        共收录：200期
============================================================

格式说明：期号 | 开奖日期 | 前区号码(5个) | 后区号码(2个)
前区范围：01-35  后区范围：01-12

------------------------------------------------------------
期号         开奖日期      前区号码            后区号码
2025134     2025-11-24   07 12 18 27 33     09 10
2025133     2025-11-22   04 11 23 27 35     07 11
2025132     2025-11-19   01 09 10 12 19     06 07
2025131     2025-11-17   03 08 25 29 32     09 12
2025130     2025-11-15   01 13 16 27 29     02 11
2025129     2025-11-12   03 09 14 28 35     02 04
2025128     2025-11-10   03 06 26 30 33     11 12
2025127     2025-11-08   04 05 19 28 29     05 08
2025126     2025-11-05   01 08 18 27 30     06 07
2025125     2025-11-03   10 11 13 19 35     04 11
2025124     2025-11-01   06 09 14 26 27     08 09
2025123     2025-10-29   08 13 24 25 31     04 10
2025122     2025-10-27   02 03 06 16 17     04 05
2025121     2025-10-25   02 03 08 13 21     07 12
2025120     2025-10-22   11 13 22 26 35     02 08
2025119     2025-10-20   08 15 27 29 31     01 07
2025118     2025-10-18   02 08 09 12 21     04 05
2025117     2025-10-15   05 10 18 21 29     05 07
2025116     2025-10-13   02 06 16 22 29     08 12
2025115     2025-10-11   03 12 14 21 35     01 05
2025114     2025-10-08   03 08 09 12 16     01 05
2025113     2025-10-06   01 14 18 28 35     02 03
2025112     2025-09-29   03 04 21 23 24     09 12
2025111     2025-09-27   02 09 14 21 26     02 12
2025110     2025-09-24   01 15 22 30 31     02 08
2025109     2025-09-22   04 08 10 13 26     09 10
2025108     2025-09-20   14 18 21 24 29     03 06
2025107     2025-09-17   05 07 08 15 33     06 10
2025106     2025-09-15   05 06 11 26 29     05 10
2025105     2025-09-13   15 16 25 28 34     10 12
2025104     2025-09-10   02 06 09 22 34     02 08
2025103     2025-09-08   05 08 19 32 34     04 05
2025102     2025-09-06   09 10 13 26 28     02 04
2025101     2025-09-03   05 07 19 26 32     08 09
2025100     2025-09-01   26 28 32 34 35     02 07
2025099     2025-08-30   06 12 20 26 31     02 04
2025098     2025-08-27   01 07 09 10 23     10 12
2025097     2025-08-25   05 24 25 32 34     01 09
2025096     2025-08-23   02 11 17 22 24     07 09
2025095     2025-08-20   07 13 14 19 27     06 10
2025094     2025-08-18   04 09 17 30 33     05 09
2025093     2025-08-16   01 07 09 16 30     02 05
2025092     2025-08-13   04 10 17 25 32     05 07
2025091     2025-08-11   01 19 22 25 27     03 10
2025090     2025-08-09   06 14 19 22 27     01 04
2025089     2025-08-06   02 11 12 32 34     03 10
2025088     2025-08-04   08 09 10 11 35     05 11
2025087     2025-08-02   05 13 14 16 20     03 08
2025086     2025-07-30   02 06 23 24 33     01 10
2025085     2025-07-28   02 05 09 14 33     04 09
2025084     2025-07-26   09 11 13 18 29     04 11
2025083     2025-07-23   12 17 18 20 34     02 05
2025082     2025-07-21   02 03 04 12 26     01 08
2025081     2025-07-19   01 04 06 15 18     02 03
2025080     2025-07-16   09 10 18 22 24     03 12
2025079     2025-07-14   02 14 32 34 35     05 11
2025078     2025-07-12   07 10 15 21 24     05 06
2025077     2025-07-09   12 14 16 19 28     01 04
2025076     2025-07-07   11 18 22 25 29     04 12
2025075     2025-07-05   08 12 16 19 35     06 09
2025074     2025-07-02   02 11 15 18 21     05 10
2025073     2025-06-30   01 04 17 33 34     03 09
2025072     2025-06-28   04 07 15 24 29     01 04
2025071     2025-06-25   01 08 25 31 33     05 11
2025070     2025-06-23   08 09 15 20 22     04 12
2025069     2025-06-21   04 06 07 33 34     09 10
2025068     2025-06-18   01 04 17 20 22     04 10
2025067     2025-06-16   06 10 12 21 22     01 06
2025066     2025-06-14   15 18 27 28 34     03 06
2025065     2025-06-11   07 25 32 33 35     04 09
2025064     2025-06-09   05 10 18 20 34     01 08
2025063     2025-06-07   05 18 26 29 32     07 10
2025062     2025-06-04   14 20 27 28 29     06 10
2025061     2025-06-02   02 11 16 23 28     05 10
2025060     2025-05-31   12 14 19 33 34     01 07
2025059     2025-05-28   03 09 10 11 26     01 02
2025058     2025-05-26   06 11 15 21 23     01 07
2025057     2025-05-24   09 10 11 12 29     01 10
2025056     2025-05-21   12 15 28 29 32     08 11
2025055     2025-05-19   08 10 25 29 30     01 02
2025054     2025-05-17   03 12 16 21 29     01 02
2025053     2025-05-14   14 23 29 30 33     06 12
2025052     2025-05-12   02 04 11 29 30     02 08
2025051     2025-05-10   02 04 13 29 31     05 12
2025050     2025-05-07   15 18 20 21 34     04 10
2025049     2025-05-05   09 20 22 29 34     03 08
2025048     2025-05-03   02 06 17 23 35     06 11
2025047     2025-04-30   03 10 11 12 21     02 03
2025046     2025-04-28   04 10 15 20 34     04 07
2025045     2025-04-26   08 11 21 23 27     03 08
2025044     2025-04-23   15 17 21 22 26     02 08
2025043     2025-04-21   03 16 20 21 27     09 11
2025042     2025-04-19   06 08 11 18 20     05 11
2025041     2025-04-16   03 04 21 22 27     05 11
2025040     2025-04-14   02 08 16 31 32     04 12
2025039     2025-04-12   03 07 14 15 19     06 10
2025038     2025-04-09   07 08 20 26 34     08 09
2025037     2025-04-07   05 20 23 27 31     04 06
2025036     2025-04-05   04 07 13 27 30     02 06
2025035     2025-04-02   22 25 28 29 30     04 08
2025034     2025-03-31   04 15 22 28 33     06 08
2025033     2025-03-29   01 02 08 10 33     10 12
2025032     2025-03-26   12 22 25 27 28     01 02
2025031     2025-03-24   14 18 20 25 35     01 07
2025030     2025-03-22   03 09 14 24 28     06 07
2025029     2025-03-19   05 09 26 31 33     03 10
2025028     2025-03-17   06 08 20 25 29     03 07
2025027     2025-03-15   03 06 11 13 20     01 11
2025026     2025-03-12   02 03 07 17 30     01 09
============================================================
        超级大乐透规则说明：
        前区从01-35中选5个号码，后区从01-12中选2个号码
        一等奖：5+2全中（奖金浮动，基本投注1000万起）
        二等奖：5+1（奖金浮动）
        三等奖：5+0（基本投注10000元）
        四等奖：4+2（基本投注3000元）
        五等奖：4+1（基本投注300元）
        六等奖：3+2（基本投注200元）
        七等奖：4+0或2+2（基本投注100元）
        八等奖：3+1或1+2（基本投注15元）
        九等奖：2+1或0+2（基本投注5元）
============================================================
⚠️ 购彩有节制，请理性投注！
数据来源：中国体育彩票官方网站
============================================================
